도서관명,시도명,시군구명,도서관유형,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),소재지도로명주소,부지면적,건물면적
서귀포시중앙도서관,제주특별자치도,서귀포시,공공도서관,325,101393,27,8271,제주특별자치도 서귀포시 김정문화로 32,20882,3416
서귀포시동부도서관,제주특별자치도,서귀포시,공공도서관,154,70567,38,7194,제주특별자치도 서귀포시 일주동로 8232,8859,1424
아우름쉼터북카페,울산광역시,동구,작은도서관,16,1486,0,0,울산광역시 동구 방어진순환도로 733,,3344
대왕암엘크루작은도서관,울산광역시,동구,작은도서관,20,1985,0,0,울산광역시 동구 등대4길 26,,78
서부징검다리작은도서관,울산광역시,동구,작은도서관,30,1430,0,0,울산광역시 동구 방어진순환도로 995,,6048
꿈꾸는도서관,울산광역시,동구,작은도서관,10,4671,0,0,"울산광역시 동구 화진1길 39, 3층",,193
영주평은작은도서관,경상북도,영주시,작은도서관,15,3612,0,112,경상북도 영주시 평은면 신평로 29,,120
영주시립도서관,경상북도,영주시,공공도서관,188,82715,29,2870,경상북도 영주시 가흥로 263,9470,1338
영주하망도서관,경상북도,영주시,공공도서관,190,15645,33,5502,경상북도 영주시 중앙로126번길 11,1618,2053
정읍시립중앙도서관,전북특별자치도,정읍시,공공도서관,602,185320,35,6649,전북특별자치도 정읍시 벚꽃로 511,13692,3503
정읍시립신태인도서관,전북특별자치도,정읍시,공공도서관,100,56740,21,578,전북특별자치도 정읍시 신태인읍 신태인중앙로47,3342,837
정읍기적의도서관,전북특별자치도,정읍시,공공도서관,78,72972,22,386,전북특별자치도 정읍시 수성5로 45-5,1688,1274
북면작은도서관,전북특별자치도,정읍시,작은도서관,35,8727,0,0,전북특별자치도 정읍시 북면 정읍북로 534,,189
상동작은도서관,전북특별자치도,정읍시,작은도서관,25,11511,0,0,전북특별자치도 정읍시 학산로 97(우미아파트관리동 2층),,120
고부작은도서관,전북특별자치도,정읍시,작은도서관,10,6412,0,0,전북특별자치도 정읍시 고부면 교동3길 10-1,,83
수목토작은도서관,전북특별자치도,정읍시,작은도서관,24,8600,0,0,전북특별자치도 정읍시 학산로 89-25(수목토아파트 관리동 3층),,128
옹달샘작은도서관,전북특별자치도,정읍시,작은도서관,19,9692,0,0,전북특별자치도 정읍시 중앙로 41(관리동 2층),,140
수성작은도서관,전북특별자치도,정읍시,작은도서관,30,8978,0,0,전북특별자치도 정읍시 수성2로 13-11(수성2차 관리동),,141
북울진도서관,경상북도,울진군,공공도서관,65,67843,28,577,경상북도 울진군 죽변면 죽변북로64-4,3091,2004
울진남부도서관,경상북도,울진군,공공도서관,181,59372,100,1208,경상북도 울진군 후포면 후포삼율로 194-13,20073,9577
울진작은도서관,경상북도,울진군,작은도서관,34,11248,23,178,경상북도 울진군 울진읍 읍내8길 26,661,118.08
근남작은도서관,경상북도,울진군,작은도서관,14,7567,2,153,경상북도 울진군 근남면 울진북로 151-3,1041,66
매화작은도서관,경상북도,울진군,작은도서관,6,10625,0,0,경상북도 울진군 매화면 매화4길 3,430,33
